document_id,lease_date,lessee_name,lessor_name,prop_address_line1,prop_address_line2,prop_city,prop_state,prop_zip_code,lease_start_date,lease_end_date,lease_duration,lease_duration_firm,prop_size,monthly_rent,monthly_rent_firm,lessee_signed,lessor_signed,no_parking_spaces,rent_1,rent_2,rent_3,,,,
GS-09B-02625,2010-11-10,"M. A. S. REAL ESTATE SERVICES, INC.",UNITED STATES OF AMERICA,700 South Palo Verde Road,,Tuscon,ARIZONA,85756-5006,2002-07-01,,15,10,58377,,132701,TRUE,TRUE,154,,,,,,,
GS-09B-02607,2011-12-05,"HR GCC, LLC",UNITED STATES OF AMERICA,5365 North 99th Avenue,,Glendale,ARIZONA,85305-2203,2011-10-16,2021-11-15,,10,16632,,36864,TRUE,TRUE,,36864,40329,43776,,,,
GS-09B-02486,2012-08-20,"Univest Development Company, LLC",UNITED STATES OF AMERICA,"3201 E, Universal Way",,Tuscon,ARIZONA,85706,2012-04-06,2032-04-05,10,10,,39516,36997,TRUE,TRUE,,,,,,,,
GS-09B-02392,2009-12-28,"Nogales Imperial, LLC",UNITED STATES OF AMERICA,"Block 149, Rio Rico Estate #8",,Rio Rico,ARIZONA,85648,2009-12-08,,,10,,,84431,TRUE,TRUE,,,,,,,,
GS-09B-02371,2010-06-14,"Tuscon Broadway Office Plaza, LLC",UNITED STATES OF AMERICA,6245 East Broadway Boulevard,,Tuscon,ARIZONA,85711-3642,2010-05-24,2020-05-23,5,5,,12416.83,11350.7,TRUE,TRUE,,,,,,,,
GS-09B-02356,2010-03-24,"Spindrift Partners, LLC",UNITED STATES OF AMERICA,"1st Floor, 1405 East Ash Street",,Globe,ARIZONA,85501-1413,2011-08-02,2021-08-01,,10,3770,,16390,TRUE,TRUE,,16881,17388,18083,,,,
GS-09B-02343,2009-06-30,INDIANOLA PARTNERS,UNITED STATES OF AMERICA,Sells Airport Road,,Sells,ARIZONA,85634-0910,2010-11-22,2025-11-21,,15,16701,,62628.75,TRUE,TRUE,55,,,,,,,
GS-09B-02337,2010-07-28,"3200 North Central Venture, LLC",UNITED STATES OF AMERICA,14th Floor (Suite 1450),3200 North Central Avenue,Phoenix,ARIZONA,85012-2435,,,,,9620,,19640,TRUE,TRUE,,,,,,,,
GS-09B-02329,2009-06-05,"345 S RIVER RUN RD, LLC",UNITED STATES OF AMERICA,Suite 220,345 River Run,Flagstaff,ARIZONA,86001-5826,,,,5,1726,4339.45,4976.63,TRUE,TRUE,,,,,,,,
GS-09B-02319,2011-02-01,"Dickinson Commercial Properties, LLC",UNITED STATES OF AMERICA,2995 S. Pacific Avenue,,Yuma,ARIZONA,85365-3510,2012-03-14,2022-03-13,5,5,15080,18850,21741,TRUE,TRUE,35,,,,,,,
